Reboiler_Spec,Condenser_Spec,Condenser_Duty,Reboiler_Duty,T_top,T_mid,T_bottom,Condenser_Duty_pred,Reboiler_Duty_pred,T_top_pred,T_mid_pred,T_bottom_pred,residual,anomaly
1.60444,1.98889,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.60444,2.03333,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.60444,2.07778,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.60444,2.12222,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.60444,2.16667,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.60444,2.21111,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.60444,2.25556,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.60444,2.3,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.65333,1.9,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.65333,1.94444,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.65333,1.98889,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.65333,2.03333,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.65333,2.07778,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.65333,2.12222,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.65333,2.16667,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.65333,2.21111,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.65333,2.25556,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.65333,2.3,76.2681,-77.6168,351.559,364.622,373.243,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,2.571639999999823,0
1.70222,1.9,33.5794,-33.967,351.561,353.4,357.987,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,19.998060000000116,1
1.70222,1.94444,34.0918,-34.48,351.56,353.374,357.993,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,19.79678000000012,1
1.70222,1.98889,34.6034,-34.9912,351.558,353.35,358.0,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,19.59522000000012,1
1.70222,2.03333,35.1116,-35.4927,351.557,353.326,358.013,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,19.395280000000128,1
1.70222,2.07778,35.6232,-36.0036,351.555,353.303,358.02,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,19.19358000000013,1
1.70222,2.12222,35.6232,-36.0036,351.555,353.303,358.02,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,19.19358000000013,1
1.70222,2.16667,35.6232,-36.0036,351.555,353.303,358.02,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,19.19358000000013,1
1.70222,2.21111,35.6232,-36.0036,351.555,353.303,358.02,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,19.19358000000013,1
1.70222,2.25556,35.6232,-36.0036,351.555,353.303,358.02,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,19.19358000000013,1
1.70222,2.3,35.6232,-36.0036,351.555,353.303,358.02,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,19.19358000000013,1
1.75111,1.9,28.0019,-28.4077,351.561,353.428,357.342,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,22.348820000000124,1
1.75111,1.94444,28.433,-28.8384,351.56,353.402,357.35,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,22.179860000000122,1
1.75111,1.98889,28.8585,-29.2624,351.558,353.381,357.357,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,22.012360000000122,1
1.75111,2.03333,29.2843,-29.6871,351.557,353.36,357.363,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,21.845060000000124,1
1.75111,2.07778,29.7129,-30.1161,351.556,353.336,357.366,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,21.677540000000118,1
1.75111,2.12222,30.1353,-30.5394,351.555,353.312,357.363,73.66049999999997,-75.00820000000017,351.5469999999995,356.99500000000063,373.24599999999936,21.51360000000012,1
